Ime objekta,Podrijetlo imena
Jama u grebenu,smišljeno novo
Autobusna spilja,smišljeno novo
Borerka,smišljeno novo
Ljubelj,smišljeno prema toponimu
Jama kod Košutići,smišljeno prema toponimu
Gori ussi,smišljeno novo
Jama kod Dolenjih Tankovići,smišljeno prema toponimu
Vučija špilja,smišljeno prema toponimu
Jelovska griža,preuzeto kao lokalni naziv
Kaverna na stacionaži 1+637 Vodena,preuzeto kao lokalni naziv
Jazavčeva špiljica,smišljeno novo
Ledenica kod Bednjice,preuzeto kao lokalni naziv
Goranka,smišljeno novo
Dvostruka - A,smišljeno novo
Jama kod Presike,smišljeno prema toponimu
Špilja pod Devetom,smišljeno prema toponimu
Jolina jama,nepoznato podrijetlo
Špilja četiri psa,smišljeno novo
Jama kod Borovog groba,preuzeto kao lokalni naziv
Velika jama,preuzeto kao lokalni naziv
Josina jama,smišljeno novo
Gospa od Šunja,smišljeno prema toponimu
Radiohead na Ćiru,smišljeno novo
Jama na Trovrškim livadama,smišljeno prema toponimu
Fikserica,smišljeno novo
Markova jama,smišljeno novo
Amaterska,smišljeno novo
Sedrena špilja kod stola,smišljeno novo
Sapunjara,smišljeno novo
Bunar jama kod Jelićevog stana,preuzeto iz literature
Špilja Brlog,smišljeno novo
Gvozdenica,preuzeto kao lokalni naziv
Pećina Debela sten 3,preuzeto kao lokalni naziv
Špilja kod Vukovića,smišljeno novo
Pećina Izvor Čikole,preuzeto kao lokalni naziv
Spilja pod Kaličakom,smišljeno prema toponimu
Podčopalj pećina,smišljeno prema toponimu
Poluspilja na Gradni,smišljeno prema toponimu
Mala Golubinjka,preuzeto kao lokalni naziv
Jama na Ciju,preuzeto kao lokalni naziv
Majama,smišljeno novo
Donji ponor,smišljeno prema toponimu
Maravića jama,preuzeto kao lokalni naziv
Jama uz cestu,smišljeno novo
Brlog iz slikovnice,smišljeno novo
Opasni pojas,smišljeno novo
Ishlapila,smišljeno prema toponimu
Kuča jama,preuzeto iz literature
Jama na Brdu,preuzeto kao lokalni naziv
Brgudac IX,smišljeno novo
Debela griža,smišljeno prema toponimu
Pećina Vrulja,preuzeto kao lokalni naziv
Pećina u strani,preuzeto iz literature
Jama kod radara,smišljeno novo
Jama na Srnečaku,smišljeno prema toponimu
1A-1,preuzeto iz literature
Pećina kod Brletića 2,smišljeno prema toponimu
Ključanica,smišljeno novo
Veseli poštar,smišljeno novo
Ilasova jama,smišljeno novo
Jama Marušići Kave Vale,preuzeto kao lokalni naziv
Ponoćna premijera,smišljeno novo
Munižaba,smišljeno prema toponimu
Brestovica,preuzeto kao lokalni naziv
Ledena siga 2,smišljeno novo
Kranjska pećina,preuzeto kao lokalni naziv
Spilja u Bačvi,smišljeno prema toponimu
Koranska pećina,preuzeto iz literature
Pećina Podgrad,preuzeto kao lokalni naziv
Cuhik,smišljeno novo
Škrinja,smišljeno novo
Trafo,smišljeno novo
Mala jama pod križem,smišljeno novo
Golubnjača,preuzeto kao lokalni naziv
Izgubljeno - nađeno,smišljeno novo
Brdarica 3,smišljeno prema toponimu
Rupa kraj Zimine jame,smišljeno novo
Spilja pod Gubešom,smišljeno prema toponimu
Jama kod dvije bukve,smišljeno novo
MMJ-1,smišljeno novo
Jama na Ripanskom vrhu,smišljeno prema toponimu
Nova Pepelarica,smišljeno prema toponimu
Stara oznaka 19,smišljeno novo
Sniježnica pod Ljubljanom,preuzeto kao lokalni naziv
Jama iznad Jezerca,smišljeno prema toponimu
Jama sa svjetlom,smišljeno novo
Druga jama u vrtači uz cestu,smišljeno novo
Iznenadna jama neupitne fascinacije,smišljeno novo
Bezdanka iznad Lalića,smišljeno prema toponimu
Lovozakupnikova jama,smišljeno novo
Jama na Cerovice,smišljeno prema toponimu
Madžarovac,preuzeto kao lokalni naziv
Tvorcova jama,smišljeno novo
Jama u Maloj Bjeljevini,smišljeno prema toponimu
Batin guz 2,smišljeno novo
Kaverna uz cestu kod Pupnatske luke,preuzeto iz literature
Limeta,smišljeno novo
PT 4,smišljeno novo
Špila pri Pičetu,smišljeno prema toponimu
Bezdana u Novom selu,smišljeno prema toponimu
Bezdanka u Starim ogradama,preuzeto kao lokalni naziv
Jama u Dubokom dolcu,preuzeto kao lokalni naziv
Konjavci  1,smišljeno prema toponimu
Sestrice blizanke,smišljeno novo
Mrgudova spilja,preuzeto kao lokalni naziv
Jama na Povresku,smišljeno prema toponimu
"Naša jama SG 3,25",smišljeno prema toponimu
Upov,smišljeno novo
Jama kod Ječamnjaka,smišljeno prema toponimu
Spila ol store vloke,preuzeto kao lokalni naziv
Krstičevića jama,smišljeno novo
Edison 2,smišljeno novo
Patuljkova špilja 1-2,smišljeno novo
Jama pseudo škorpiona,smišljeno novo
Gljiva,smišljeno novo
Usput,smišljeno novo
Veternica,preuzeto kao lokalni naziv
Jama pod vrhom Tihovinje,smišljeno prema toponimu
Jama Bizdar 1,preuzeto kao lokalni naziv
Avavav,smišljeno novo
Grančica 2,smišljeno novo
Dentjera,smišljeno novo
Bandiera rossa,smišljeno novo
Hircova jama,smišljeno novo
Špilja kraj potoka Zala,smišljeno prema toponimu
Pčelica Maja,smišljeno novo
Vinjiševička špiljica,smišljeno prema toponimu
Epruveta srdžbe,smišljeno novo
Nestašna jama,smišljeno novo
Jama u Crnim dolinama,smišljeno prema toponimu
Kruna mog života,smišljeno novo
Poskokova,smišljeno novo
Kaverna Škurinje 5,smišljeno prema toponimu
Markova špilja,preuzeto kao lokalni naziv
Mali seronja,smišljeno novo
Jama pored Jame 202,smišljeno novo
Jama Cakinji,preuzeto kao lokalni naziv
Jama Sapeta,preuzeto kao lokalni naziv
Pijavica,smišljeno prema toponimu
Topolkova hiža 4,preuzeto kao lokalni naziv
Špilja kod crkve,nepoznato podrijetlo
Močiljska špilja,preuzeto kao lokalni naziv
Pećina kod Pavlove njive,smišljeno prema toponimu
Truba,smišljeno novo
Bunker blizu uvale Perilo,smišljeno prema toponimu
Krjava,preuzeto kao lokalni naziv
Velesova jama,smišljeno novo
Mramorna pećina,smišljeno novo
Trogrla jama,preuzeto kao lokalni naziv
Partizanska špilja u Jelin rogu,preuzeto iz literature
Brza jama,smišljeno novo
Rambo,smišljeno novo
Usputna jama,smišljeno novo
Ponor na Korita,preuzeto kao lokalni naziv
Zametska pećina,preuzeto iz literature
Karlova špilja,smišljeno novo
Jama kod Rapajića vrtlića,smišljeno prema toponimu
Mašića jama,nepoznato podrijetlo
Golubička,smišljeno novo
Zazidana (Suva) pećina,preuzeto kao lokalni naziv
Dedina jama,smišljeno novo
Bacestina jama,preuzeto kao lokalni naziv
Marxova ledenica,smišljeno novo
Mićina špajza,smišljeno novo
Ponor Kolinasi,smišljeno prema toponimu
Malipolje,smišljeno prema toponimu
Pasja jama,preuzeto kao lokalni naziv
Škriljine,smišljeno prema toponimu
Jama u Velim Sapcima 4,smišljeno prema toponimu
Medvije stajice 1,preuzeto kao lokalni naziv
Delička,smišljeno prema toponimu
Mjesečeve livade,smišljeno prema toponimu
Postojna distruta,smišljeno novo
Činjadra,preuzeto kao lokalni naziv
Ždabova jama,nepoznato podrijetlo
Promašena jama,preuzeto kao lokalni naziv
Jama pod Makljen vrhom,smišljeno prema toponimu
Jama između gomila,preuzeto kao lokalni naziv
Špilja ispod Drniške gradine,smišljeno prema toponimu
Hobadje,smišljeno novo
Poreduša 2,smišljeno novo
Mitrovo korito,smišljeno prema toponimu
Keglja,smišljeno novo
Jama Bombardelli,smišljeno novo
Špilja pod Velikim tornjem,smišljeno prema toponimu
Mali fridž,smišljeno novo
Luška špilja,smišljeno prema toponimu
Velika peć,preuzeto sa karte
Voda Kapaljka pod Bačić kukom,preuzeto kao lokalni naziv
Reljina pećina,preuzeto sa karte
Spilja kod turske kule,smišljeno novo
Portret špilja,smišljeno novo
Pećina na Zelenkovcu,preuzeto iz literature
Jama kod Špraljin stana,smišljeno prema toponimu
LU4EK,smišljeno novo
Mini golf - Strguljin grad 7,smišljeno prema toponimu
Jama kod Hrasta,smišljeno novo
Tandemska špilja,smišljeno novo
Mala jama kraj Golubinke u gaju,smišljeno novo
Špilja na Zapadnom grebenu,smišljeno prema toponimu
Jama Micika,smišljeno novo
Treća vilina,smišljeno novo
Špilja na Braksovcu,smišljeno prema toponimu
"SG 2,25",smišljeno prema toponimu
Dankov ponor,preuzeto kao lokalni naziv
Staje 11,smišljeno prema toponimu
Pećina Garanića,preuzeto iz literature
Jama u Velikim Vrtanjima,smišljeno prema toponimu
Jama u Pupnatu,smišljeno prema toponimu
Pit Stop,smišljeno novo
Suza na Ploči,smišljeno prema toponimu
Maukova pećina,preuzeto kao lokalni naziv
Kaverna tunel na Drenovi,smišljeno prema toponimu
Jama Bebina kakica,smišljeno novo
Ponor u Podastrani,smišljeno prema toponimu
Gruba budi,smišljeno novo
Jama na potez,smišljeno novo
Skuti,smišljeno novo
Dijetna jama,smišljeno novo
Jama pod Trovrhom,smišljeno prema toponimu
Špilja za romantiku,smišljeno novo
Likina prva jama,smišljeno novo
Jupa,smišljeno novo
Debele čonte,smišljeno novo
Jama kod Sankovića,nepoznato podrijetlo
Šljama u Šupljoj stijeni,smišljeno prema toponimu
Bezdana jama iznad uvale Zaglav,preuzeto iz literature
Jama za Sv. Ivanom,smišljeno prema toponimu
Jama iznad Kravljačice,preuzeto iz literature
Bukvine čerge,smišljeno novo
Nosin te z dušun,smišljeno novo
Rupe 2,smišljeno prema toponimu
Ciganska peć,preuzeto kao lokalni naziv
Gnezdo,smišljeno novo
Baštijanova jama,preuzeto kao lokalni naziv
Proljetna jama,smišljeno novo
Velika Ledenica,preuzeto kao lokalni naziv
Mala Gajna,preuzeto kao lokalni naziv
Jamica u Mačjoj drazi,smišljeno prema toponimu
Šarića Golubinka,preuzeto kao lokalni naziv
Pećina uz prugu,preuzeto iz literature
Ikovica,preuzeto kao lokalni naziv
Pedoča,smišljeno novo
Antipatična,smišljeno novo
Mrežnička peć podno Svete Jelene,smišljeno prema toponimu
Spilja kod Srema,smišljeno prema toponimu
Mala muda,smišljeno novo
Uska jama,smišljeno novo
Česta jama,smišljeno prema toponimu
Crikvena 3,smišljeno prema toponimu
Jama na Valdelari,smišljeno prema toponimu
Arnautova golubnjača,preuzeto kao lokalni naziv
Most nad glavom,smišljeno novo
MKG 1,smišljeno novo
Stenica,smišljeno novo
Faremo,smišljeno novo
Žablja jama,smišljeno novo
Gigantes,smišljeno novo
Na-Kovana jama,smišljeno novo
Sunčana,smišljeno novo
Ilijina jama,smišljeno novo
Rušinovica,preuzeto kao lokalni naziv
Golubinka na Poljanicama,preuzeto kao lokalni naziv
Sačekuša,smišljeno novo
Zlatni zalaz,smišljeno novo
Lisičja špilja,smišljeno novo
Koncertna jama,smišljeno novo
Uska dama,smišljeno novo
Kordička,smišljeno prema toponimu
Jama na Grabri,smišljeno prema toponimu
Otkrivena iz zraka,smišljeno novo
Dvjestodesetka,smišljeno novo
Šušnjara,preuzeto kao lokalni naziv
Ponor Đorđe,smišljeno novo
Dijetalna,smišljeno novo
Poputna jama,smišljeno novo
Jama kod suhog bora 1,smišljeno novo
Debeli krug II,smišljeno prema toponimu
Sve u 16,smišljeno novo
Špejarka,preuzeto kao lokalni naziv
Bijela smrt,smišljeno novo
Goranska klepa,preuzeto kao lokalni naziv
Zatrpani bunar jama pod Koralištem,smišljeno prema toponimu
Zbogom u Osijek,smišljeno novo
Špilja u Radinovcima,preuzeto kao lokalni naziv
Špilja ispod Gradine,preuzeto kao lokalni naziv
G1 Lor,smišljeno novo
37 Kneževac,smišljeno novo
Pećina Plošenica,smišljeno prema toponimu
Razdoljska jama,preuzeto kao lokalni naziv
Jelenja jama,smišljeno novo
Jama na Mrždolcu,smišljeno prema toponimu
Put za Katmandu,smišljeno novo
Kave,smišljeno prema toponimu
Pod izohipsom,smišljeno novo
Asanova pećina,preuzeto kao lokalni naziv
Jama kod Ratkovog skloništa,smišljeno novo
Podvodna špilja na  Malim Srakanama,smišljeno prema toponimu
Špilja na otoku Golcu,smišljeno prema toponimu
Lukasova špilja,smišljeno novo
Vranik,smišljeno novo
Kokmoč ponor,preuzeto kao lokalni naziv
Kapitanova jama,preuzeto kao lokalni naziv
Radosni puž,smišljeno novo
Čorkaća,smišljeno prema toponimu
Jama Šaraja,preuzeto kao lokalni naziv
Gašparova jama,preuzeto kao lokalni naziv
Strguljin grad 4.25,smišljeno prema toponimu
Dabina špilja,preuzeto sa karte
LMF,smišljeno novo
Rupica na 666 m.n.v.,smišljeno novo
Škenderovac jama,preuzeto kao lokalni naziv
Golubinka,preuzeto kao lokalni naziv
Jama na Razboju,smišljeno prema toponimu
Crnopolis,smišljeno novo
Jama kod Novkovića,smišljeno prema toponimu
Prozor mora pasti,smišljeno novo
Beezzek,smišljeno prema toponimu
Jama pod Jelenskim vrhom 1,smišljeno prema toponimu
Pećina na Sklopači,smišljeno prema toponimu
Sanjina jama pod Jarebinjakom,smišljeno novo
Čudna šuma,smišljeno novo
Jamica na sedlu,smišljeno novo
Stare sige,smišljeno novo
Delova jama u Borima,preuzeto kao lokalni naziv
Lukasova golubinka,preuzeto iz literature
Bojina jama,preuzeto kao lokalni naziv
Jametina Kovića,preuzeto kao lokalni naziv
Jagodica,smišljeno novo
Lišnjak,smišljeno novo
Kostelac Kr.,smišljeno prema toponimu
Matetića špilja,smišljeno prema toponimu
Kosjenka,smišljeno novo
Jarebinka,preuzeto kao lokalni naziv
Who's walking ovdje?,smišljeno novo
Pišonjin elkabong,smišljeno novo
Golubinka u Kalaševin Dugin Njivaman,preuzeto kao lokalni naziv
Jama u Grudama,smišljeno prema toponimu
Glavinjača,smišljeno novo
Labirint pod Bilića jarama,smišljeno prema toponimu
Duboka peć,preuzeto kao lokalni naziv
Tabarinka,preuzeto kao lokalni naziv
Rudnik zlata,smišljeno novo
Bobafet,smišljeno novo
Kojna špilja,preuzeto kao lokalni naziv
Jama na Krase,smišljeno prema toponimu
Mali Kopanjščak,smišljeno prema toponimu
Kutlića pećina,preuzeto kao lokalni naziv
Zavijutak,smišljeno novo
Rupa nije mala,smišljeno novo
Kamenolomska jama,preuzeto iz literature
Guba,smišljeno novo
Macaklinska špilja pod Uminom,smišljeno prema toponimu
Jama Lama Ljama,smišljeno novo
Špilja u Plavšića gredi,smišljeno prema toponimu
Jama pri Franji u kleti,smišljeno novo
Improvizirana 2,smišljeno novo
Gnu,smišljeno novo
Matekova špilja 1,preuzeto kao lokalni naziv
Litno,preuzeto kao lokalni naziv
Mala Kozarica,preuzeto kao lokalni naziv
Jama Gornji ulaz,smišljeno novo
Jama kod Matkići,smišljeno prema toponimu
Drenovec,smišljeno prema toponimu
Suha Mađarica,smišljeno novo
Jama kod Golubinke kod Ruminih vrtli,smišljeno prema toponimu
Špilja u uvali Čekinac,smišljeno prema toponimu
Jama na Balaguštini,smišljeno prema toponimu
Jama u Krogu,preuzeto kao lokalni naziv
Jama pod Budinom kosicom,smišljeno prema toponimu
Ne idi dalje,smišljeno novo
Mačja jama,preuzeto kao lokalni naziv
Kranceti K2,preuzeto kao lokalni naziv
"Zimina jama SG 7,24",smišljeno novo
Jama pod Debelim vrhom 3,smišljeno prema toponimu
Golubinka na Orjaku,preuzeto sa karte
Teško nać,smišljeno novo
Kerumov isus,smišljeno novo
Crikvena 12,smišljeno prema toponimu
Pećina na Skitači,smišljeno prema toponimu
Jama u Vidorni,smišljeno prema toponimu
Končareva pećina,preuzeto iz literature
Đurovića jama,preuzeto kao lokalni naziv
DP,smišljeno novo
Ivanova jama,smišljeno novo
Dolačina mama,smišljeno novo
Spilja u Zumiškom dolcu,smišljeno prema toponimu
Otkopana jama,smišljeno novo
Kita cvijeća,smišljeno novo
Špilja iznad Višnjića,smišljeno prema toponimu
Drekavčeva jama,smišljeno novo
Kaverna u kamenolomu Fantazija,smišljeno prema toponimu
Jama nad Globokim dolcima,smišljeno prema toponimu
Trio gušt,smišljeno novo
Matežnovac,smišljeno novo
Sloševa pećica,preuzeto kao lokalni naziv
Lavor,smišljeno novo
3G2B,smišljeno novo
Bajićeva špilja 2,preuzeto kao lokalni naziv
Ledenica u Špeharima,preuzeto kao lokalni naziv
Gornji ćorak,smišljeno novo
Frodo,smišljeno novo
Kaverna na stacionaži 1+193 Tunelska puhaljka,smišljeno novo
Lovranski lazići 1,smišljeno prema toponimu
Pećina Zaklon,smišljeno novo
Lipa jama na Velikom pogledu,smišljeno prema toponimu
Pećina pul donje šterne,preuzeto kao lokalni naziv
Mamet,preuzeto kao lokalni naziv
Kosturko,smišljeno novo
Oj mjeseče zvijezdo sjajna,smišljeno novo
Jama na Patuhovcu,smišljeno prema toponimu
Šarapoljka,smišljeno novo
Mini golf - Strguljin grad 10,smišljeno prema toponimu
Parnica,preuzeto kao lokalni naziv
Jama pod zid,preuzeto kao lokalni naziv
Špilja uz cestu,smišljeno prema toponimu
Špilja preko brda,smišljeno novo
Jama na Svetom brdu,preuzeto iz literature
Mrtvi puževi,smišljeno novo
Jama u Soldatske vale,smišljeno prema toponimu
Crno vrelo,preuzeto kao lokalni naziv
Migy,smišljeno novo
Pećina Kikiriki,smišljeno novo
Sedma,smišljeno novo
Mandelaja,preuzeto kao lokalni naziv
Buganćica,preuzeto kao lokalni naziv
Jama kod dječjeg oporavilišta 2,smišljeno novo
Zabranjen promet u jednom smjeru,smišljeno novo
Krajačeva špilja,preuzeto iz literature
Mandina jama,nepoznato podrijetlo
Mini golf - Strguljin grad 8,smišljeno prema toponimu
Ričina,preuzeto kao lokalni naziv
Škrapica,smišljeno novo
Jama Makljen 3,smišljeno prema toponimu
Turska jama,preuzeto kao lokalni naziv
Jama pod velikim Bačvenjakom,smišljeno prema toponimu
Hrvatica,smišljeno novo
Jama s tri škulje,smišljeno novo
Židovske jame,preuzeto kao lokalni naziv
Spilja kod podumolskog mlina,smišljeno prema toponimu
Špilja u ogradama,nepoznato podrijetlo
Štiglja,smišljeno novo
Duty free,smišljeno novo
Pobojište III,smišljeno prema toponimu
Mila draga jama,smišljeno prema toponimu
Tecina jama,preuzeto kao lokalni naziv
Medviđa špilja,smišljeno novo
Batićan 2,preuzeto kao lokalni naziv
Viseći blokovi,smišljeno novo
Vindija,preuzeto iz literature
Bliznice 1,preuzeto kao lokalni naziv
Uska jama,smišljeno novo
Žilava krv,smišljeno novo
Jama kod nule,smišljeno novo
Kaverna kod škole u Putičanjima,smišljeno prema toponimu
Jama pod Velikim Knezgradom,smišljeno prema toponimu
Bošak jama,preuzeto kao lokalni naziv
Palovica,preuzeto kao lokalni naziv
Pećina pod Stržen,smišljeno prema toponimu
Terca,smišljeno novo
Džungla s Marsa,smišljeno novo
Sustav Matešićeva špilja - Popovačka špilja,preuzeto kao lokalni naziv
Špilja CKKPJ,smišljeno novo
Šuplja stina,preuzeto kao lokalni naziv
Jama Lastine,preuzeto kao lokalni naziv
Keine Angst,smišljeno novo
Štemerica,smišljeno novo
Ljubičica kod Handrake,smišljeno novo
Potkameničina jama,nepoznato podrijetlo
Baba,preuzeto kao lokalni naziv
Batićan,smišljeno prema toponimu
Plodni dan,smišljeno novo
Mađaronova hižica,smišljeno novo
Bele Ćela,smišljeno prema toponimu
Špilja kod Škardskih vrata,smišljeno prema toponimu
Caffè,smišljeno novo
Dimnjak,smišljeno novo
Pivčeva jama,preuzeto kao lokalni naziv
Duet,smišljeno novo
Jama u Bovanu,smišljeno prema toponimu
Pseudocepinka,smišljeno prema toponimu
Sušilova,smišljeno prema toponimu
Jama za Sv. Ilijom,smišljeno prema toponimu
Kornić 1,smišljeno prema toponimu
Dobra Kob,smišljeno prema toponimu
Špilja na Smokvici,smišljeno prema toponimu
Gluhanova,smišljeno prema toponimu
Polica,smišljeno novo
Jama iznad Winnetoua,smišljeno novo
Jama Pučić,preuzeto kao lokalni naziv
Roze rukavice,smišljeno novo
Japuždrina,preuzeto sa karte
Ponor Sadikovac,smišljeno prema toponimu
Staje 9,smišljeno prema toponimu
Jama kod Rašpora,preuzeto sa karte
Fantomska jama,smišljeno novo
Jama Ga,smišljeno novo
Priko puta puta,smišljeno novo
Vela peć,preuzeto kao lokalni naziv
Momčilovića špilja,preuzeto kao lokalni naziv
Špilja Početnica,smišljeno novo
Moj prvi put,smišljeno novo
Gulina jama,smišljeno novo
Partizanska jama,smišljeno novo
Oštirova jama,preuzeto kao lokalni naziv
Drvored,smišljeno novo
Špilja Mali Lahol I,smišljeno prema toponimu
Pozoj,smišljeno novo
Trooka jama,nepoznato podrijetlo
Ponor kod Špiljske šterne,smišljeno prema toponimu
Hamletova jama,smišljeno novo
Jama na vrtlu u Biljevini,smišljeno prema toponimu
Veprinački lazi 1,smišljeno prema toponimu
Čmrljina jama,smišljeno novo
Polonina,smišljeno novo
Polušpilja kod Zale 2,smišljeno prema toponimu
Betlem,smišljeno novo
Heliodrom K.,smišljeno novo
Jama na Sapaški gost,smišljeno prema toponimu
Ma odma,smišljeno novo
Kurelčeva jama,smišljeno novo
Aragonka,smišljeno novo
Jama na cesti,smišljeno novo
Šabac,preuzeto kao lokalni naziv
Špilja pod Butinom,preuzeto kao lokalni naziv
Jama I kod Metodovog zida,smišljeno prema toponimu
Pegula,smišljeno novo
Skoro Poputna,smišljeno novo
Ponor 1,smišljeno novo
Trstenička jama,smišljeno prema toponimu
Vražja jama,smišljeno novo
Črvonjec,smišljeno novo
Špilja na Repuševcu,smišljeno prema toponimu
Jama u Uvali,smišljeno prema toponimu
Golubnjača u Grulovićima,preuzeto kao lokalni naziv
Vilina špilja-Izvor Omble,preuzeto kao lokalni naziv
Crekvica 1,smišljeno novo
Špilja u Večkom polju,smišljeno prema toponimu
Špila u Križican,smišljeno prema toponimu
Jama Velehov,preuzeto kao lokalni naziv
Diva 2,smišljeno novo
Golubinka na brdu Trovro,smišljeno prema toponimu
Jama u Starom gaju kod Suknovaca,smišljeno prema toponimu
Čajna,smišljeno novo
Ledena Tisa,smišljeno novo
Škundrića jama,smišljeno prema toponimu
Sonjina i Mandina jama,smišljeno novo
Kaverna u Pučišćima,smišljeno prema toponimu
Roger spreman,smišljeno novo
Može,smišljeno novo
Jama na vrhu crnog,smišljeno prema toponimu
Buža Kukurina,preuzeto kao lokalni naziv
Jama na Kuželjevcu,smišljeno prema toponimu
Bucalovka,smišljeno prema toponimu
Špilja niš na Vlahovom bregu,smišljeno prema toponimu
Varićakova špilja,preuzeto kao lokalni naziv
Gruda,smišljeno novo
Jama u Bukovici,smišljeno prema toponimu
Ponor u Ponoru,smišljeno prema toponimu
Rade Končar,smišljeno novo
Gazina pećina,preuzeto kao lokalni naziv
Lastovnjak,preuzeto iz literature
B14,smišljeno novo
Odokativno,smišljeno novo
Daždevnjakova bezdanka,smišljeno novo
Uska Štrimflja,smišljeno novo
Špilja Mali brlog,smišljeno novo
Gradica,preuzeto kao lokalni naziv
Sestrica 2,smišljeno novo
Kaverna Lemeš,smišljeno prema toponimu
Špilja u Lukačevom brigu,smišljeno prema toponimu
"Jama ""Pazi ponor""",smišljeno novo
Propala perspektiva,smišljeno novo
Pratrovac špilja,smišljeno prema toponimu
Osam Viških,smišljeno novo
Nevistina špilja,smišljeno prema toponimu
Špilja pod košnicom,smišljeno novo
Brekuja,smišljeno novo
Prolazna špilja,smišljeno novo
Spilja Lahol,smišljeno prema toponimu
Butina špilja,preuzeto kao lokalni naziv
Ponikve 1,smišljeno prema toponimu
Jama u vali Kraljevica,smišljeno prema toponimu
Zapećka,smišljeno prema toponimu
Jama sa smećem,smišljeno novo
Jama bijele sige,smišljeno novo
Vine,preuzeto kao lokalni naziv
Jamski sustav KV2 - VVKV,smišljeno prema toponimu
Zman'ku,smišljeno novo
Kosturnica na Pobojištu,smišljeno prema toponimu
Jasenice 2,smišljeno novo
Jama Cvjetana Barbića,smišljeno novo
Sadić jama,smišljeno prema toponimu
Lipica,preuzeto kao lokalni naziv
G6,smišljeno novo
Jelovača,preuzeto kao lokalni naziv
Bažejeva  jama,preuzeto kao lokalni naziv
Vitrenice,preuzeto kao lokalni naziv
Pećina u mramornih sten,smišljeno prema toponimu
Druga u danu,smišljeno novo
Lindina špilja,smišljeno novo
Bivša ledenica kod Stražbenice,smišljeno novo
Špilja kod sela Šiljezi,smišljeno prema toponimu
Zečja jama 2,smišljeno novo
Jama u uvali devet hriba,preuzeto kao lokalni naziv
Jama od policajca,smišljeno novo
Vilinska špilja,preuzeto kao lokalni naziv
Jama s tri ulaza,smišljeno novo
Temenka,preuzeto kao lokalni naziv
Jurina špilja,smišljeno novo
Mala Upovka,smišljeno novo
Mulčeva špilja,smišljeno prema toponimu
Jama kod Stare pošte,smišljeno prema toponimu
Znetva kod Rajićeve vode,preuzeto kao lokalni naziv
Golubnjača - Disco Patchouli,smišljeno novo
Jama na putu za Staru školu,smišljeno novo
Zobinovica,smišljeno prema toponimu
To nije ništa,smišljeno novo
Podrapuša,smišljeno novo
Puhaljka Bože Lugara,smišljeno novo
Jama Spas kraljica,preuzeto kao lokalni naziv
Jama na dnu vrtače,smišljeno novo
Jedva špilja,smišljeno novo
Help!,smišljeno novo
Jama u Steljnici 1,smišljeno prema toponimu
Pećina pod Oknom 1,smišljeno prema toponimu
Roko Sokolovo,smišljeno novo
Podzvir,preuzeto kao lokalni naziv
Mala špilja nad izvorom Litno,smišljeno prema toponimu
